Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,620.729980,631.270020,613.130005,628.130005,565.696716,476
2019-01-03,600.000000,608.479980,585.000000,593.369995,534.391602,249
2019-01-04,599.010010,604.520020,590.000000,604.520020,544.433472,484
2019-01-07,623.190002,626.500000,615.109985,617.940002,556.519531,992
2019-01-08,608.349976,609.000000,600.010010,600.010010,540.371765,1139
2019-01-09,625.000000,632.000000,620.000000,621.010010,559.284424,446
2019-01-10,622.989990,630.000000,617.859985,625.900024,563.688354,221
2019-01-11,634.239990,641.409973,634.239990,640.010010,576.395813,67
2019-01-14,639.000000,644.679993,635.010010,643.950012,579.944214,98
2019-01-15,651.250000,659.000000,650.599976,659.000000,593.498291,179
2019-01-16,665.010010,680.000000,663.130005,676.950012,609.664124,365
2019-01-17,677.169983,682.580017,674.919983,681.799988,614.032104,273
2019-01-18,688.590027,697.750000,686.369995,690.650024,622.002502,414
2019-01-21,690.000000,691.989990,684.919983,688.700012,620.246338,522
2019-01-22,685.729980,685.729980,671.840027,671.840027,605.062195,333
2019-01-23,678.250000,687.190002,678.250000,687.190002,618.886353,74
2019-01-24,697.900024,712.000000,695.000000,709.280029,638.780762,350
2019-01-25,727.000000,731.000000,724.010010,729.049988,656.585632,484
2019-01-28,729.950012,729.950012,710.960022,710.960022,640.293701,272
2019-01-29,721.130005,725.039978,716.900024,719.809998,648.264038,711
2019-01-30,728.609985,728.609985,720.390015,724.119995,652.145752,480
2019-01-31,723.260010,726.140015,719.000000,725.109985,653.037292,500
2019-02-01,729.940002,730.000000,722.479980,725.059998,652.992188,160
2019-02-04,725.950012,726.989990,722.799988,726.989990,654.730347,131
2019-02-05,726.989990,738.530029,722.719971,735.010010,661.953369,676
2019-02-06,734.309998,741.489990,731.659973,741.489990,667.789246,1543
2019-02-07,733.080017,733.080017,713.650024,713.650024,642.716431,374
2019-02-08,700.530029,705.000000,698.869995,699.000000,629.522522,658
2019-02-11,697.000000,711.450012,697.000000,711.450012,640.734985,257
2019-02-12,728.340027,733.780029,728.340027,730.659973,658.035583,174
2019-02-13,734.090027,734.320007,729.010010,730.159973,657.585266,428
2019-02-14,740.479980,740.840027,726.809998,726.809998,654.568237,839
2019-02-15,722.130005,729.500000,722.130005,728.630005,656.207336,211
2019-02-18,724.750000,728.989990,720.609985,720.799988,649.155640,175
2019-02-19,723.979980,723.979980,715.359985,722.460022,650.650635,369
2019-02-20,737.000000,739.000000,733.039978,739.000000,665.546631,609
2019-02-21,741.400024,743.000000,730.510010,733.000000,660.143066,858
2019-02-22,740.099976,743.349976,737.859985,741.909973,668.167480,161
2019-02-25,738.859985,749.000000,738.859985,749.000000,674.552734,696
2019-02-26,743.150024,743.559998,734.539978,734.539978,661.529907,169
2019-02-27,738.479980,738.479980,724.150024,724.150024,652.172729,162
2019-02-28,703.270020,709.080017,694.190002,699.539978,630.008789,524
2019-03-01,700.630005,708.400024,695.500000,698.099976,628.711914,740
2019-03-04,708.940002,715.690002,699.969971,699.969971,630.396118,537
2019-03-05,699.000000,703.510010,695.859985,703.510010,633.584229,165
2019-03-06,694.010010,702.000000,694.010010,697.679993,628.333679,103
2019-03-07,699.599976,703.679993,696.909973,697.000000,627.721313,275
2019-03-08,684.099976,689.500000,677.440002,684.650024,616.598816,519
2019-03-11,687.989990,690.000000,683.000000,690.000000,621.417053,241
2019-03-12,696.000000,700.559998,695.000000,697.000000,627.721313,183
2019-03-13,689.989990,691.710022,686.000000,689.380005,620.858704,77
2019-03-14,682.320007,684.500000,680.000000,681.659973,613.906006,82
2019-03-15,682.340027,682.340027,673.989990,675.659973,608.502319,134
2019-03-18,679.559998,680.000000,672.640015,674.450012,607.412659,238
2019-03-19,684.489990,688.229980,681.000000,685.380005,617.256165,1181
2019-03-20,685.000000,686.169983,681.010010,681.010010,613.320679,275
2019-03-21,715.130005,723.000000,713.000000,721.770020,650.029297,667
2019-03-22,729.000000,729.000000,717.000000,717.000000,645.733337,134
2019-03-25,713.020020,716.000000,704.840027,716.000000,644.832764,530
2019-03-26,712.520020,712.520020,703.000000,703.000000,633.124878,562
2019-03-27,713.609985,714.080017,700.049988,703.000000,633.124878,291
2019-03-28,712.789978,712.789978,706.000000,708.090027,644.498352,98
2019-03-29,705.000000,705.000000,698.890015,698.919983,636.151794,172
2019-04-01,709.099976,709.250000,704.340027,704.340027,641.085205,299
2019-04-02,723.530029,723.530029,717.500000,720.580017,655.866577,87
2019-04-03,729.119995,741.960022,729.119995,736.260010,670.138428,381
2019-04-04,739.299988,739.989990,727.669983,727.669983,662.319824,198
2019-04-05,734.000000,740.090027,730.500000,737.000000,670.811951,650
2019-04-08,727.950012,728.340027,722.000000,722.500000,657.614136,59
2019-04-09,730.000000,731.000000,724.000000,724.000000,658.979431,891
